"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","136990","","","","0"
"1978-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","151884","","","","0"
"1978-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","147264","","","","0"
"1978-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","115260","","","","0"
"1978-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","108004","","","","0"
"1978-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","109161","","","","0"
"1978-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","125989","","","","0"
"1978-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","95948","","","","0"
"1978-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","74010","","","","0"
"1979-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","88454","","","","0"
"1979-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","99071","","","","0"
"1979-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","136677","","","","0"
"1979-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","132349","","","","0"
"1979-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","151336","","","","0"
"1979-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","143932","","","","0"
"1979-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","127559","","","","0"
"1979-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","105117","","","","0"
"1979-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","96957","","","","0"
"1979-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","133204","","","","0"
"1979-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","101694","","","","0"
"1979-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","80052","","","","0"
"1980-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","88737","","","","0"
"1980-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103816","","","","0"
"1980-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121444","","","","0"
"1980-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","124471","","","","0"
"1980-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","113501","","","","0"
"1980-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","111875","","","","0"
"1980-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","111767","","","","0"
"1980-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","101023","","","","0"
"1980-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","91811","","","","0"
"1980-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121463","","","","0"
"1980-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","96041","","","","0"
"1980-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","77858","","","","0"
"1981-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","81814","","","","0"
"1981-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","89402","","","","0"
"1981-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123273","","","","0"
"1981-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","132117","","","","0"
"1981-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","122053","","","","0"
"1981-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","118796","","","","0"
"1981-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","97008","","","","0"
"1981-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","84545","","","","0"
"1981-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","87515","","","","0"
"1981-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","87398","","","","0"
"1981-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103231","","","","0"
"1981-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","63730","","","","0"
"1982-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","52526","","","","0"
"1982-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","67804","","","","0"
"1982-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","88437","","","","0"
"1982-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","93849","","","","0"
"1982-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","95250","","","","0"
"1982-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","101337","","","","0"
"1982-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","65076","","","","0"
"1982-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","72186","","","","0"
"1982-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","75973","","","","0"
"1982-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","69496","","","","0"
"1982-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","72150","","","","0"
"1982-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","66818","","","","0"
"1983-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","53005","","","","0"
"1983-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","61693","","","","0"
"1983-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103466","","","","0"
"1983-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","113007","","","","0"
"1983-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","109377","","","","0"
"1983-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","112812","","","","0"
"1983-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","83221","","","","0"
"1983-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","89636","","","","0"
"1983-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","79869","","","","0"
"1983-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","100117","","","","0"
"1983-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","100686","","","","0"
"1983-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","74199","","","","0"
"1984-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","76960","","","","0"
"1984-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","92391","","","","0"
"1984-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","128129","","","","0"
"1984-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121377","","","","0"
"1984-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","138643","","","","0"
"1984-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","133057","","","","0"
"1984-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","104721","","","","0"
"1984-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","97471","","","","0"
"1984-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","83367","","","","0"
"1984-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","124301","","","","0"
"1984-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","99942","","","","0"
"1984-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","83143","","","","0"
"1985-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","90229","","","","0"
"1985-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","96909","","","","0"
"1985-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","137726","","","","0"
"1985-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","157681","","","","0"
"1985-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","157040","","","","0"
"1985-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","160505","","","","0"
"1985-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123904","","","","0"
"1985-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123717","","","","0"
"1985-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","110420","","","","0"
"1985-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","141971","","","","0"
"1985-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","126132","","","","0"
"1985-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","104176","","","","0"
"1986-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","96988","","","","0"
"1986-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","111312","","","","0"
"1986-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","133481","","","","0"
"1986-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","162234","","","","0"
"1986-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","156923","","","","0"
"1986-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","144047","","","","0"
"1986-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","138513","","","","0"
"1986-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","119181","","","","0"
"1986-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","118424","","","","0"
"1986-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","128379","","","","0"
"1986-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","105987","","","","0"
"1986-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","100451","","","","0"
"1987-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","83076","","","","0"
"1987-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","101655","","","","0"
"1987-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","146400","","","","0"
"1987-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","168957","","","","0"
"1987-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","149223","","","","0"
"1987-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","164576","","","","0"
"1987-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121440","","","","0"
"1987-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","122611","","","","0"
"1987-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","113680","","","","0"
"1987-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","137855","","","","0"
"1987-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121033","","","","0"
"1987-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103131","","","","0"
"1988-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","89402","","","","0"
"1988-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103159","","","","0"
"1988-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","161868","","","","0"
"1988-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","159970","","","","0"
"1988-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","170391","","","","0"
"1988-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","150832","","","","0"
"1988-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123963","","","","0"
"1988-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","129525","","","","0"
"1988-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","116134","","","","0"
"1988-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","131174","","","","0"
"1988-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","122397","","","","0"
"1988-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","106686","","","","0"
"1989-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","84735","","","","0"
"1989-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","99704","","","","0"
"1989-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","136169","","","","0"
"1989-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","174451","","","","0"
"1989-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","173769","","","","0"
"1989-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","141364","","","","0"
"1989-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","109259","","","","0"
"1989-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","121730","","","","0"
"1989-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","115863","","","","0"
"1989-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123737","","","","0"
"1989-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","113476","","","","0"
"1989-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","89618","","","","0"
"1990-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","91288","","","","0"
"1990-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","88583","","","","0"
"1990-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","139653","","","","0"
"1990-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","134243","","","","0"
"1990-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","148056","","","","0"
"1990-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","136787","","","","0"
"1990-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","110807","","","","0"
"1990-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","109046","","","","0"
"1990-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","93393","","","","0"
"1990-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","106023","","","","0"
"1990-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","89011","","","","0"
"1990-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","70979","","","","0"
"1991-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","83716","","","","0"
"1991-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","81299","","","","0"
"1991-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","109716","","","","0"
"1991-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","139820","","","","0"
"1991-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","146960","","","","0"
"1991-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","141662","","","","0"
"1991-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","123736","","","","0"
"1991-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","98964","","","","0"
"1991-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","103787","","","","0"
"1991-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","95686","","","","0"
"1991-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","88967","","","","0"
"1991-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","73477","","","","0"
"1992-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","79512","","","","0"
"1992-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","82293","","","","0"
"1992-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","110160","","","","0"
"1992-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","124848","","","","0"
"1992-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","125257","","","","0"
"1992-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","125177","","","","0"
